Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2656433,0.5784108,0.6100798,0.5385883,0.5076216,0.6394979,0.7166588,0.7712367,0.606148,0.546497,0.5709816
0.2688318,0.5661893,0.6355015,0.5184002,0.5266765,0.6252834,0.7430467,0.7579481,0.6126309,0.5218579,0.5643628
0.2846654,0.5686344,0.6403044,0.5169696,0.5365326,0.6204063,0.7468648,0.7814851,0.5991513,0.5288122,0.5593416
0.2801057,0.5383501,0.6144565,0.5283873,0.534707,0.6122648,0.7265753,0.7724338,0.5776227,0.5165519,0.5472078
0.2833265,0.5661206,0.606205,0.5360928,0.5376274,0.6239942,0.7277363,0.7573192,0.5967817,0.5301863,0.5420103
0.2855793,0.5516397,0.6021134,0.5527744,0.5436824,0.6445101,0.7480828,0.7431243,0.5742967,0.5258491,0.5398793
0.2723496,0.5468627,0.6102206,0.5451122,0.5517066,0.6231637,0.7476466,0.7577172,0.5921441,0.5337744,0.5590655
0.2708972,0.5424874,0.6264942,0.5508103,0.5677701,0.6392395,0.7240372,0.7601497,0.600045,0.5530509,0.555995
0.2815107,0.5364285,0.6142884,0.5449216,0.5416877,0.6557575,0.7181864,0.7633159,0.5814179,0.560266,0.5989891
0.2920656,0.5363302,0.5875221,0.558107,0.5377986,0.6304898,0.7497808,0.7423254,0.5833572,0.5635859,0.5866962
0.2886737,0.5285692,0.5572124,0.5755358,0.5374492,0.6355917,0.757886,0.746177,0.565247,0.5446331,0.610236
0.2761326,0.5571554,0.5617933,0.5660359,0.5674081,0.6508192,0.7582158,0.7547003,0.5796886,0.5129567,0.6143869
0.2756656,0.5512435,0.5588158,0.5442454,0.5502245,0.6446333,0.7574306,0.7411402,0.5672758,0.4975904,0.6183875
0.2684454,0.5514328,0.5570041,0.5364127,0.5357621,0.6255803,0.7727633,0.7234251,0.5482971,0.5138564,0.6077221
0.2859118,0.5529313,0.5458298,0.5081268,0.5641842,0.6371126,0.77808,0.7345517,0.5693731,0.5127405,0.6173277
0.2935063,0.5541668,0.5564323,0.5259334,0.5929562,0.6305748,0.7784542,0.750683,0.5736169,0.5175441,0.6278923
0.2904393,0.562576,0.5651731,0.528513,0.5930673,0.6608269,0.7935479,0.7576544,0.5949548,0.5309753,0.649674
0.2787918,0.553488,0.5480033,0.5246423,0.5975946,0.6600038,0.7867004,0.7454656,0.6006332,0.5176755,0.6598825
0.2910872,0.5570613,0.550187,0.5103618,0.6198275,0.6652406,0.7737447,0.7511066,0.6187268,0.516344,0.6573567
0.2879547,0.5737481,0.5344945,0.5098614,0.5902656,0.6609409,0.7730337,0.738085,0.6260704,0.5239579,0.6568477
0.2880563,0.5548286,0.5322886,0.5014948,0.6300532,0.6608934,0.7760774,0.7359095,0.6346168,0.5143055,0.6753681
0.2841949,0.5589808,0.5411228,0.5066836,0.6371252,0.6876252,0.7564657,0.7468175,0.6313671,0.5330986,0.6574693
0.2770079,0.5395741,0.5233658,0.5095605,0.6802763,0.6686649,0.7511556,0.7561267,0.6396894,0.5170949,0.674196
